Class,Order,Family,Genus,Specific_Epithet,Origin,IUCN_Status,Darwin,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,San Cristobal,Santa Cruz,Santa Fe,Santiago,Unknown Island,Wolf,Elizabeth Bay,English Common Name,Spanish Common Name,Local Name,Taxonomic Comments,Distribution Comments,English Comments,English Description
Mammalia,Cetartiodactyla,Delphinidae,Globicephala,macrorhynchus,Na,DD,,,,,,True,,,,,True,,True,,,,"Short finned pilot whale, shortfin pilot whale",ballena piloto de aleta corta,,,,,
Mammalia,Cetartiodactyla,Delphinidae,Grampus,griseus,Na,LC,,,,,,,,,,,True,,,,,,Risso�s dolphin,delf�n de Risso,,,,,
Mammalia,Cetartiodactyla,Delphinidae,Lagenodelphis,hosei,Na,LC,,,,,,,,,,,True,,,,,,Fraser�s dolphin,delf�n de Fraser,,,,,
Mammalia,Cetartiodactyla,Delphinidae,Orcinus,orca,Na,DD,,,,,,,,,,,True,,,,,,"Orca, killer whale",orca,,"Syn.: Orcinus glacialis (Berzin & Vladimirov, 1983), Orcinus nanus Mikhalev etal., 1981",,,
Mammalia,Cetartiodactyla,Delphinidae,Peponocephala,electra,Na,LC,,,,,,,,,,,True,,,,,,Melon-Headed whale,ballena cabeza de mel�n,,,,,
Mammalia,Cetartiodactyla,Delphinidae,Pseudorca,crassidens,Na,DD,,,,,,,,,,,True,,,,,,False Killer Whale,falsa orca,,,,,
Mammalia,Cetartiodactyla,Delphinidae,Stenella,coeruleoalba,Na,LC,,,,,,,True,,,,,,,,,,Striped dolphin,delf�n listado,,"Syn.: Stenella euphrosyne Gray, 1846",,,
Mammalia,Cetartiodactyla,Delphinidae,Stenella,longirostris,Na,DD,,,,,,,,,,,True,,,,,,Spinner dolphin,delfin tornillo,,,,,
Mammalia,Cetartiodactyla,Delphinidae,Steno,bredanensis,Na,LC,,,,,,True,,,,,,,,,,,Rough-toothed dolphin,delf�n de dientes rugosos,,,,,
Mammalia,Cetartiodactyla,Delphinidae,Tursiops,truncatus,Na,LC,,True,,True,,True,,,,,True,,,,,,Bottlenose dolphin,delf�n nariz de botella,,"Syn.: Tursiops gephyreus Lahille, 1908, Tursiops gilli Dall, 1873, Tursiops nuuanu Andrews, 1911",,,
Mammalia,Cetartiodactyla,Physeteridae,Kogia,breviceps,Na,DD,,,,,,,,,,,True,,,,,,Pygmy sperm whale,cachalote pigmeo,,"Syn.: Cogia breviceps Benham, 1901 (synonym), Euphisetes pottsi Tomilin, 1957 (misspelling), Euphysetes grayii Wall, 1851 (synonym), Euphysetes macleayi Gill, 1871 (synonym), Euphysetes pottsi Haast, 1874 (synonym), Kogia brevirostris Gray, 1865 (synonym), Kogia floweri Gill, 1871 (synonym), Kogia goodei True, 1884 (synonym), Kogia grayi Gill, 1871 (synonym), Kogia greyi Trouessart, 1898 (synonym), Kogia macleayi Gill, 1871 (synonym), Physeter breviceps de Blainville, 1838 (basionym), fide Appeltans et al. (2010)",,,
Mammalia,Cetartiodactyla,Physeteridae,Kogia,sima,Na,DD,,,,,,,,,,,True,,,,,,Dwarf sperm whale,Cachalote enano,,,,,
Mammalia,Cetartiodactyla,Physeteridae,Physeter,macrocephalus,Na,VU,,,,,,,,,,,True,,,,,,Sperm whale,cachalote,,"Syn.: Physeter catodon Linnaeus, 1758",,,
Mammalia,Cetartiodactyla,Ziphiidae,Hyperoodon,planifrons,Na,LC,,,,,,,,,,,True,,,,,,Southern bottle nose whale,ballena nariz de botella,,,,,
Mammalia,Cetartiodactyla,Ziphiidae,Indopacetus,pacificus,Na,DD,,,,,,,,,,,True,,,,,,Indo-pacif Beaked whale,ballena picuda de Longman,,,,,
Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,densirostris,Na,DD,,,,,,,,,,,True,,,,,,Blainville's Beaked Whale,ballena picuda de Blainville,,"Syn.: Delphinus densirostris Blainville, 1817 (basionym), Nodus densirostris Galbreath, 1963 (synonym), Ziphius sechellensis Gray, 1846 (synonym), fide Appeltans et al. (2010)",,,
Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,ginkgodens,Na,DD,,,,,True,,,,,,True,,,,,,Ginkgo Toothed Beaked Whale,ballena picuda de Ginkgo,,"Syn.: Mesoplodon hotaula Deraniyagala, 1963",,,
Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,peruvianus,Na,DD,,,,,,,,,,,True,,,,,,Lesser Beaked Whale,ballena picuda,,,,,
Mammalia,Cetartiodactyla,Ziphiidae,Ziphius,cavirostris,Na,LC,,,,,,True,,True,,,True,,,,,,Cuvierﾴs beaked whale,ballena picuda de Cuvier,,"Syn.: Aliama desmarestii Gray, 1864, Aliama indica Gray, 1865, Delphinorhynchus australis Burmeister, 1865, Delphinus desmaresti Risso, 1826, Delphinus philippii Cocco, 1846, Epiodon australe Burmeister, 1867, Epiodon australis Gray, 1871, Epiodon chathamiensis Hector, 1873, Epiodon cryptodon Gray, 1870, Epiodon desmarestii Carus, 1893, Epiodon heraultii Gray, 1872, Epiodon patachonicum Burmeister, 1867, Hyperodon semijunctus Cope, 1865, Hyperondon semijunctus Hall & Kelson, 1959, Hyperoodon capensis Gray, 1865, Hyperoodon desmarestii Gray, 1850, Hyperoodon doumetii Gray, 1850, Hyperoodon gervaisii Duvernoy, 1851, Petrorhynchus capensis Gray, 1865, Petrorhynchus indicus Gray, 1865, Petrorhynchus mediterraneus Gray, 1871, Ziphiorrhynchus cryptodon Burmeister, 1865, Ziphius aresques Gray, 1871, Ziphius australis Trouessart, 1904, Ziphius cavirostris indicus Deraniyagala, 1945, Ziphius chatamensis Lahille, 1899, Ziphius chathamensis Flower, 1885, Ziphius chathamiensis Iredale & Troughton, 1934, Ziphius cryptodon Fischer, 1857, Ziphius decavirostris Gray, 1871, Ziphius grebnitzkii Stejneger, 1883, Ziphius indicus Van Beneden, 1863, Ziphius novaezealandiae Haast, 1876, Ziphius savii Richiardi, 1873, Zyphius chathamensis Moreno, 1895, fide Appeltans et al. (2010)",,,
Mammalia,Chiroptera,Vespertilionidae,Lasiurus,borealis,Na,NE,,,,,,,,,,,True,,,,,,"Red bat, Gal�pagos bat",Murci�lago rojo,,"Syn.: Lasiurus borealis M�ller, 1776, Atalapha brachyotis Peters, 1871, Nycteris borealis Borkhausen, 1797",Santa Cruz and San Cristobal Islands. In Floreana Island was recorded a fossil,,
Mammalia,Chiroptera,Vespertilionidae,Lasiurus,cinereus,Na,LC,,,,True,,True,,,,True,True,,True,,,,Hoary bat,Murci�lago negro,,"Syn.: Atalapha cinereus Peters, 1871, Nycteris cinereus Borkhausen, 1797","Present on Santa Cruz, San Cristobal, Floreana, Isabela and Santiago Islands",,
Mammalia,Didelphimorphia,Didelphidae,Didelphis,marsupialis,In,LC,,,,,,,,,,,,,,True,,,Black eared / common opossum,Zariguella de orejas negras com�n,,,"It was intercepted on Puerto Ayora, Santa Cruz Island.",,
Mammalia,Lagomorpha,Leporidae,Oryctolagus,cuniculus,In,,,,,,,,,,,True,True,,,,,,Rabit,Conejo dom�stico,,,"No recent records, but previously recorded Santa Cruz; still present on San Cristobal (feral and domestic) on farmis in the transition zone",It was recorded in 1989 on Santa Cruz Island in the farms. No records in the wild. Recorded (feral and domestic) in Transition zone - farms - in 2012.,
Mammalia,Perissodactyla,Equidae,Equus,asinus,In,,,,,True,,True,,,,True,True,,True,,,,Donkey,"Burro, Asno",Burro,,"Present in Floreana, San Cristobal, Isabela South (Sierra Negra Volcano) and Santa Cruz islands. It was eradicated from Santiago Island and Alcedo volcano on Isabela Island. Also all the feral animals of Floreana Island were eradicated.",,"E. asinus is a quadruped, its body is small and robust. It measures between 190-200 cm long with a long straight tail about 40-50 cm long. Height at the shoulder depends largely on the breed of the animal, but it can be between 92-150 cm. They weigh about 450 kg. Their coat can be straight, curly, short or long and woolly. The most common color is gray, but can also be brown and even black or white, with a dark dorsal stripe on the mane and tail. Its head is large with long ears, its mane is short and curled without the characteristic tuft of horses. It has a hoof at each limb, which is longer and narrower than that of the horses. Wild donkeys live in small groups with a dominant male and three to four females. In the wild, they can live an average of 25 years, and domesticated they reach 40 years. The donkeys have a very loud braying which allows them to communicate over long distances."
Mammalia,Perissodactyla,Equidae,Equus,caballus,In,,,,,True,,True,,,,True,True,,,,,,Horse,"equino, caballo",,,"Present on Santa Cruz, Isabela, San Cristobal and Floreana",,
Mammalia,Pinnipedia,Otariidae,Arctocephalus,galapagoensis,Na,EN,,True,True,,,True,,,,True,True,,True,,,,Galapagos Fur Seal,Lobo marino de dos pelos,,,,,
Mammalia,Pinnipedia,Otariidae,Otaria,flavescens,Na,,,,,,True,,,True,,,True,,True,,,,Shouthern Sealion,Lobo marino Sudamericano,,,,,
Mammalia,Pinnipedia,Otariidae,Zalophus,wollebaeki,Na,EN,,True,True,True,,True,True,True,,True,True,True,True,,,True,Galapagos Sea lion,lobo marino de un pelo,lobo marino,"Syn.: Zalophus californianus wollebaeki Sivertsen, 1953",,,
Mammalia,Primates,Cebidae,Saguinus,oedipus,In,CR,,,,,,,,,,True,,,,,,,Squirrel Monkey,Mono cabeza de algod�n,,,Intercepted on San Cristobal Island.,,
Mammalia,Primates,Hominidae,Homo,sapiens,In,,,,,True,,True,,,,True,True,,True,,,,Modern Human,Humano moderno,,,"Established populations are restricted to towns on Santa Cruz, San Cristobal, Isabela, and Floreana. 170,000 tourists visit the archipelago per year.","The human is a large omnivorous bipedal ape, with an enlarged brain case.  A communal, highly adaptable and intelligent species, it is normally monogamous with 1-7 children per pair.","The human is a large omnivorous bipedal ape, with an enlarged brain case.  A communal, highly adaptable and intelligent species."
Mammalia,Rodentia,Caviidae,Cavia,porcellus,In,,,,,,,True,,,,True,True,,,,,,Guinea pig,cuy,,,"Present on Santa Cruz, San Cristobal and Isabela","The first record was in 1984 in the farming area in Santa Cruz Island, San Cristobal and Islabela. No recorded in wildlife. The present population status is unknow.",
Mammalia,Rodentia,Muridae,Aegialomys,bauri,Na,VU,,,,,,,,,,,,True,,,,,Santa Fe - Rice rat,Rata de Santa Fe,,"Syn.: Oryzomys galapagoensis bauri (Allen, 1892) [previous versions of the checklist erroneoulsy cited this synonym as Oryzomys galapagoensis bauri Wilson & Reeder, 2005, but this name does not exist, instead the species is listed in Wilson & Reeder (2005) who did not publish that name]; Oryzomys bauri Allen, 1892",Present only in Santa Fe Island.,,
Mammalia,Rodentia,Muridae,Aegialomys,galapagoensis,Na,EX,,,,,,,,,,,True,,,,,,San Cristobal - Rice rat,Rata de San Crist�bal,,"Syn.: Oryzomys galapagoensis (Waterhouse, 1839), Oryzomys galapagoensis galapagoensis Waterhouse, 1839","Extinct in Galapagos, was present in San Cristobal Island.",,
Mammalia,Rodentia,Muridae,Megaoryzomys,curioi,Na,EX,,,,,,,,,,,True,,,,,,"Santa Cruz and Isabela Galapagos rat, giant Gal�pagos rice rat",Rata gigante de Santa Cruz e Isabela,,,It was present in Santa Cruz Island,,
Mammalia,Rodentia,Muridae,Megaoryzomys,sp. 1,Na,EX,,,,,,,,,,,True,,,,,,Isabela Galapagos rat,Rata gigante de Isabela,,,It was present in Isabela Island.,,
Mammalia,Rodentia,Muridae,Mus,musculus,In,,,,,True,,True,,,,True,True,,True,,,,House mouse,"Rat�n, rat�n casero, pulpero","Rat�n, pulpero","Syn: Mus abbotti Waterhouse, 1837, Mus domesticus Rutty, 1772. Includes domesticus as a subspecies (Wilson and Reeder 2005). All Philippine populations of Mus are now placed in the species M. musculus (subspecies castaneus) and the species is considered to be non-native (Marshall 1977).","It has been reported on the islands Santiago, Santa Cruz, Isabela, San Crist�bal, Florena, Baltra, North Seymour, South Plaza, North Plaza. It has also been reported in the islets Eden, Champion, Mosquera, Venice, Punta Bowditch North and South. In South Plaza Island, mice poisoning was performed. T",,"Mice are small rodents that do not exceed 20 cm in total length, and its tail (6 to 10.5 cm) is longer than the body (6 - 9.5 cm). It has an approximate weight of 12-30 g, prominent black eyes, round ears and a pointed snout with long whiskers. Fur color varies from brown to black with white belly and gray, and the tail has a lighter color than the body. Its sense of sight is poorly developed, but their hearing and smell are very sensitive, to help it escape danger and find food. Adults have sexual dimorphism that is not visually detectable in plain sight, but detectable with direct manipulation of the animals. The testes of the male are large in proportion to the body. Females have five pairs of mammary glands with nipples, males lack these. Mus musculus is active at dusk or at night, it avoids bright lights. It is territorial and lives in colonies."
Mammalia,Rodentia,Muridae,Nesoryzomys,darwini,Na,EX,,,,,,,,,,,True,,,,,,Darwinﾴs Galapagos mouse,Raton de Darwin,,,"It was present in Santa Cruz Island, and the last collected was in 1930",,
Mammalia,Rodentia,Muridae,Nesoryzomys,fernandinae,Na,VU,,,True,,,,,,,,,,,,,,"Fernandina Galapagos mouse, Darwin's rice rat",Raton de Fernandina,,,Present in Fernandina Island,,
Mammalia,Rodentia,Muridae,Nesoryzomys,indefessus,Na,EX,,,,,,,,,,,True,,,,,,Indefatigable Galapagos mouse,Raton de Santa Cruz,,,It was present in Santa Cruz and Baltra Islands. The last collected were in 1934 and 1929 respectively.,,
Mammalia,Rodentia,Muridae,Nesoryzomys,narboroughi,Na,VU,,,True,,,,,,,,,,,,,,Fernandina Rice rat,Rata de Fernandina,,,Present in Fernandina Island,,
Mammalia,Rodentia,Muridae,Nesoryzomys,sp. 1,Na,EX,,,,,,,,,,,True,,,,,,Rabida Galapagos mouse,Raton de R�bida,,,It was present in Rabida Island.,,
Mammalia,Rodentia,Muridae,Nesoryzomys,sp. 2,Na,EX,,,,,,,,,,,True,,,,,,Isabela Galapagos mouse 2,Raton de Isabela 2,,,It was present in Isabela Island.,,
Mammalia,Rodentia,Muridae,Nesoryzomys,sp. 3,Na,EX,,,,,,,,,,,True,,,,,,Isabela Galapagos mouse 3,Raton de Isabela 3,,,It was present in Isabela Island.,,
Mammalia,Rodentia,Muridae,Nesoryzomys,swarthi,Na,VU,,,,,,,,,,,,,True,,,,Santiago Galapagos Rice Rat,Rata de Santiago,,,Present in Santiago Island.,,
Mammalia,Rodentia,Muridae,Rattus,norvegicus,In,,,,,True,,True,,,,True,True,,True,,,,"Norwegian rat, brown rat, Norway rat","Rata Noruega, Rata de Noruega, Rata gris",Rata Noruega,"Syn: Epimys norvegicus Miller, 1912, Mus decumanus Pallas, 1778, Mus hibernicus Thompson, 1837, Mus norvegicus Berkenhout, 1769","Santa Cruz, San Crist�bal, Isabela, Floreana, Baltra, R�bida, Santiago.",,"It is a large and robust rodent with long thick legs, it can reach up to 45 cm in total length (tail and body). Males are larger than females. Their sense of smell, touch and hearing are highly developed, but their sense of sight is not. Its fur is grayish brown dorsally, and the ventral side is grayish white or yellowish. The ears are short and slightly hairy. The muzzle is blunt with short thick bristles. The tail is hairless and shorter than the length of the body and head. Females have 5-6 pairs of mammae. They are active at night, poor climbers, and usually associated with humans. The average life span of R. norvegicus is four years in captivity."
Mammalia,Rodentia,Muridae,Rattus,rattus,In,,,,True,True,,True,True,,True,True,True,,True,,,,"Black Rat, Old World rats","Rata negra, rata de barco, rata de tejado, rata com�n, pericote, rata de buque, rata de barco.",Rata negra,,"This species is widely distributed in the archipelago. It is found in Baltra, Bartholomew, Florena, Isabela, Santa Cruz, San Cristobal, North Seymour, Pinz�n, and Santiago islands. Also present in the islets: Albany, Cousins, Eden, Sombrero Chino, Shark Cove North and South, Beagle Crater 1, 2, 3 an",,"It is a thin rodent. Its body measures 16 to 22 cm. long. Their average weight is 150 to 230 g. The coat is gray - black or gray, almost black back towards the tail and light gray, pale yellow or white on the underside. The tail is longer than the body and it measures from 17-24 cm. The tail is hairless but covered with scales that form rings. The ears are large, wide and thin; and the snout is pointy. They have a short life span from 3 to 5 years."
